date,sales
2023-01-01,152
2023-01-02,485
2023-01-03,398
2023-01-04,320
2023-01-05,156
2023-01-06,121
2023-01-07,238
2023-01-08,70
2023-01-09,152
2023-01-10,171
2023-01-11,264
2023-01-12,380
2023-01-13,137
2023-01-14,422
2023-01-15,149
2023-01-16,409
2023-01-17,201
2023-01-18,180
2023-01-19,199
2023-01-20,358
2023-01-21,307
2023-01-22,393
2023-01-23,463
2023-01-24,343
2023-01-25,435
2023-01-26,241
2023-01-27,493
2023-01-28,326
2023-01-29,210
2023-01-30,363
2023-01-31,71
2023-02-01,302
2023-02-02,285
2023-02-03,394
2023-02-04,98
2023-02-05,108
2023-02-06,219
2023-02-07,237
2023-02-08,320
2023-02-09,239
2023-02-10,495
2023-02-11,224
2023-02-12,495
2023-02-13,100
2023-02-14,413
2023-02-15,104
2023-02-16,293
2023-02-17,369
2023-02-18,180
2023-02-19,356
2023-02-20,184
2023-02-21,70
2023-02-22,378
2023-02-23,216
2023-02-24,323
2023-02-25,437
2023-02-26,138
2023-02-27,365
2023-02-28,63
2023-03-01,291
2023-03-02,314
2023-03-03,395
2023-03-04,102
2023-03-05,435
2023-03-06,389
2023-03-07,141
2023-03-08,416
2023-03-09,493
2023-03-10,477
2023-03-11,313
2023-03-12,480
2023-03-13,84
2023-03-14,255
2023-03-15,130
2023-03-16,469
2023-03-17,99
2023-03-18,409
2023-03-19,437
2023-03-20,51
2023-03-21,439
2023-03-22,103
2023-03-23,155
2023-03-24,309
2023-03-25,359
2023-03-26,240
2023-03-27,451
2023-03-28,267
2023-03-29,93
2023-03-30,211
2023-03-31,251
2023-04-01,495
2023-04-02,319
2023-04-03,400
2023-04-04,353
2023-04-05,320
2023-04-06,264
2023-04-07,301
2023-04-08,239
2023-04-09,345
2023-04-10,262
2023-04-11,257
2023-04-12,286
2023-04-13,387
2023-04-14,416
2023-04-15,102
2023-04-16,329
2023-04-17,459
2023-04-18,266
2023-04-19,301
2023-04-20,237
2023-04-21,429
2023-04-22,90
2023-04-23,206
2023-04-24,64
2023-04-25,350
2023-04-26,114
2023-04-27,394
2023-04-28,376
2023-04-29,58
2023-04-30,393
2023-05-01,178
2023-05-02,185
2023-05-03,112
2023-05-04,188
2023-05-05,130
2023-05-06,441
2023-05-07,212
2023-05-08,468
2023-05-09,338
2023-05-10,428
2023-05-11,310
2023-05-12,280
2023-05-13,90
2023-05-14,77
2023-05-15,184
2023-05-16,250
2023-05-17,377
2023-05-18,317
2023-05-19,467
2023-05-20,82
2023-05-21,97
2023-05-22,456
2023-05-23,111
2023-05-24,265
2023-05-25,342
2023-05-26,148
2023-05-27,221
2023-05-28,409
2023-05-29,263
2023-05-30,84
2023-05-31,498
2023-06-01,276
2023-06-02,150
2023-06-03,480
2023-06-04,180
2023-06-05,306
2023-06-06,54
2023-06-07,267
2023-06-08,304
2023-06-09,447
2023-06-10,408
2023-06-11,332
2023-06-12,442
2023-06-13,256
2023-06-14,64
2023-06-15,395
2023-06-16,91
2023-06-17,429
2023-06-18,228
2023-06-19,112
2023-06-20,401
2023-06-21,280
2023-06-22,290
2023-06-23,101
2023-06-24,145
2023-06-25,437
2023-06-26,271
2023-06-27,456
2023-06-28,280
2023-06-29,286
2023-06-30,192
2023-07-01,220
2023-07-02,78
2023-07-03,85
2023-07-04,62
2023-07-05,209
2023-07-06,376
2023-07-07,236
2023-07-08,292
2023-07-09,135
2023-07-10,333
2023-07-11,115
2023-07-12,219
2023-07-13,94
2023-07-14,111
2023-07-15,490
2023-07-16,183
2023-07-17,333
2023-07-18,77
2023-07-19,157
2023-07-20,93
2023-07-21,389
2023-07-22,335
2023-07-23,495
2023-07-24,380
2023-07-25,177
2023-07-26,397
2023-07-27,280
2023-07-28,239
2023-07-29,274
2023-07-30,434
2023-07-31,426
2023-08-01,332
2023-08-02,495
2023-08-03,170
2023-08-04,165
2023-08-05,282
2023-08-06,308
2023-08-07,408
2023-08-08,247
2023-08-09,460
2023-08-10,186
2023-08-11,367
2023-08-12,214
2023-08-13,274
2023-08-14,356
2023-08-15,283
2023-08-16,221
2023-08-17,201
2023-08-18,364
2023-08-19,423
2023-08-20,209
2023-08-21,145
2023-08-22,282
2023-08-23,229
2023-08-24,162
2023-08-25,367
2023-08-26,491
2023-08-27,101
2023-08-28,317
2023-08-29,344
2023-08-30,435
2023-08-31,436
2023-09-01,162
2023-09-02,150
2023-09-03,162
2023-09-04,489
2023-09-05,130
2023-09-06,236
2023-09-07,162
2023-09-08,51
2023-09-09,179
2023-09-10,269
2023-09-11,103
2023-09-12,392
2023-09-13,273
2023-09-14,274
2023-09-15,434
2023-09-16,452
2023-09-17,175
2023-09-18,179
2023-09-19,102
2023-09-20,221
2023-09-21,267
2023-09-22,209
2023-09-23,247
2023-09-24,465
2023-09-25,296
