date,store_id,region,promotion_spent,sales
2018-01-01,3,East,9002,161
2018-01-02,4,South,6536,193
2018-01-03,1,South,4913,194
2018-01-04,3,East,2066,123
2018-01-05,3,East,8723,154
2018-01-06,4,West,5380,108
2018-01-07,1,West,5107,102
2018-01-08,1,South,6726,130
2018-01-09,3,West,4373,139
2018-01-10,2,North,9945,135
2018-01-11,3,West,3082,123
2018-01-12,3,West,9967,194
2018-01-13,3,North,7748,105
2018-01-14,3,South,1417,165
2018-01-15,4,North,9306,183
2018-01-16,1,West,9808,191
2018-01-17,4,South,4974,174
2018-01-18,4,West,4267,103
2018-01-19,4,North,1825,178
2018-01-20,3,North,8668,105
2018-01-21,2,West,6745,193
2018-01-22,1,East,1412,150
2018-01-23,2,East,8543,161
2018-01-24,4,North,8587,156
2018-01-25,4,North,1728,165
2018-01-26,2,East,8164,178
2018-01-27,2,East,9867,174
2018-01-28,2,West,6988,107
2018-01-29,4,West,3504,125
2018-01-30,4,East,3967,150
2018-01-31,1,West,3786,144
2018-02-01,1,West,2122,143
2018-02-02,4,South,5079,104
2018-02-03,2,West,2571,169
2018-02-04,2,North,6073,125
2018-02-05,1,West,6104,167
2018-02-06,4,West,3143,118
2018-02-07,1,East,7806,183
2018-02-08,1,North,8357,196
2018-02-09,3,West,4440,119
2018-02-10,3,West,4766,111
2018-02-11,3,South,6644,146
2018-02-12,2,West,3914,100
2018-02-13,4,West,5968,189
2018-02-14,4,South,6917,113
2018-02-15,4,East,9787,163
2018-02-16,4,West,1728,137
2018-02-17,3,South,2365,136
2018-02-18,2,North,5492,110
2018-02-19,2,East,1698,199
2018-02-20,3,North,8186,176
2018-02-21,2,North,1395,102
2018-02-22,3,South,8400,132
2018-02-23,4,West,9082,105
2018-02-24,3,South,5171,149
2018-02-25,4,South,5360,109
2018-02-26,4,South,3502,104
2018-02-27,1,South,1717,122
2018-02-28,3,East,3782,109
2018-03-01,1,West,5946,143
2018-03-02,3,North,6486,101
2018-03-03,3,North,9335,112
2018-03-04,1,West,5980,139
2018-03-05,1,North,8266,101
2018-03-06,3,West,5491,183
2018-03-07,2,North,8192,164
2018-03-08,4,South,6588,162
2018-03-09,1,North,8651,172
2018-03-10,4,West,4636,116
2018-03-11,2,West,2167,108
2018-03-12,2,West,2062,174
2018-03-13,2,West,3156,114
2018-03-14,1,West,8860,123
2018-03-15,2,East,6161,137
2018-03-16,1,East,6305,134
2018-03-17,2,North,7541,193
2018-03-18,4,West,5729,194
2018-03-19,4,North,8330,148
2018-03-20,3,West,6334,168
2018-03-21,4,West,9924,161
2018-03-22,3,East,5330,159
2018-03-23,4,East,9010,149
2018-03-24,1,South,7801,177
2018-03-25,4,East,5846,174
2018-03-26,3,South,7731,108
2018-03-27,3,South,8241,133
2018-03-28,2,South,1953,175
2018-03-29,1,South,3539,198
2018-03-30,4,South,8056,134
2018-03-31,2,North,2542,100
2018-04-01,4,East,6293,139
2018-04-02,4,South,2191,163
2018-04-03,2,West,7313,121
2018-04-04,2,East,7938,159
2018-04-05,2,East,3681,163
2018-04-06,2,South,2540,192
2018-04-07,2,North,7172,171
2018-04-08,4,South,6541,110
2018-04-09,2,North,2365,113
