date,sales,category
2023-01-01,368,Category_2
2023-01-02,138,Category_1
2023-01-03,122,Category_4
2023-01-04,257,Category_3
2023-01-05,412,Category_4
2023-01-06,244,Category_4
2023-01-07,252,Category_5
2023-01-08,265,Category_5
2023-01-09,338,Category_2
2023-01-10,322,Category_1
2023-01-11,152,Category_3
2023-01-12,264,Category_1
2023-01-13,445,Category_5
2023-01-14,129,Category_4
2023-01-15,178,Category_4
2023-01-16,357,Category_3
2023-01-17,138,Category_2
2023-01-18,428,Category_5
2023-01-19,128,Category_1
2023-01-20,260,Category_2
2023-01-21,223,Category_2
2023-01-22,358,Category_1
2023-01-23,133,Category_1
2023-01-24,405,Category_2
2023-01-25,313,Category_3
2023-01-26,309,Category_2
2023-01-27,253,Category_1
2023-01-28,475,Category_2
2023-01-29,165,Category_5
2023-01-30,331,Category_2
2023-01-31,144,Category_2
2023-02-01,516,Category_2
2023-02-02,155,Category_5
2023-02-03,223,Category_4
2023-02-04,160,Category_1
2023-02-05,503,Category_4
2023-02-06,197,Category_5
2023-02-07,280,Category_4
2023-02-08,433,Category_5
2023-02-09,246,Category_3
2023-02-10,158,Category_5
2023-02-11,409,Category_2
2023-02-12,144,Category_2
2023-02-13,162,Category_5
2023-02-14,366,Category_4
2023-02-15,249,Category_3
2023-02-16,176,Category_4
2023-02-17,273,Category_5
2023-02-18,195,Category_1
2023-02-19,438,Category_1
2023-02-20,396,Category_4
2023-02-21,516,Category_1
2023-02-22,164,Category_3
2023-02-23,495,Category_3
2023-02-24,150,Category_5
2023-02-25,431,Category_2
2023-02-26,307,Category_4
2023-02-27,462,Category_4
2023-02-28,273,Category_2
2023-03-01,339,Category_2
2023-03-02,508,Category_3
2023-03-03,148,Category_2
2023-03-04,192,Category_3
2023-03-05,256,Category_4
2023-03-06,176,Category_4
2023-03-07,378,Category_3
2023-03-08,275,Category_3
2023-03-09,428,Category_1
2023-03-10,410,Category_1
2023-03-11,245,Category_2
2023-03-12,269,Category_2
2023-03-13,481,Category_5
2023-03-14,196,Category_1
2023-03-15,282,Category_2
2023-03-16,424,Category_1
2023-03-17,540,Category_3
2023-03-18,490,Category_4
2023-03-19,501,Category_4
2023-03-20,278,Category_2
2023-03-21,249,Category_5
2023-03-22,192,Category_2
2023-03-23,359,Category_5
2023-03-24,510,Category_1
2023-03-25,516,Category_4
2023-03-26,507,Category_5
2023-03-27,462,Category_2
2023-03-28,279,Category_2
2023-03-29,306,Category_5
2023-03-30,156,Category_4
2023-03-31,490,Category_4
2023-04-01,289,Category_4
2023-04-02,446,Category_3
2023-04-03,507,Category_3
2023-04-04,352,Category_4
2023-04-05,496,Category_5
2023-04-06,401,Category_2
2023-04-07,327,Category_4
2023-04-08,150,Category_3
2023-04-09,225,Category_2
2023-04-10,520,Category_4
2023-04-11,490,Category_1
2023-04-12,227,Category_1
2023-04-13,442,Category_5
2023-04-14,338,Category_5
2023-04-15,485,Category_4
2023-04-16,254,Category_3
2023-04-17,456,Category_1
2023-04-18,219,Category_3
2023-04-19,285,Category_4
2023-04-20,494,Category_4
2023-04-21,260,Category_4
2023-04-22,397,Category_2
2023-04-23,515,Category_5
2023-04-24,209,Category_3
2023-04-25,289,Category_5
2023-04-26,543,Category_5
2023-04-27,333,Category_5
2023-04-28,523,Category_3
2023-04-29,336,Category_1
2023-04-30,518,Category_5
2023-05-01,320,Category_4
2023-05-02,406,Category_5
2023-05-03,390,Category_5
2023-05-04,325,Category_4
2023-05-05,206,Category_3
2023-05-06,246,Category_2
2023-05-07,348,Category_1
2023-05-08,179,Category_3
2023-05-09,482,Category_4
2023-05-10,178,Category_1
2023-05-11,485,Category_4
2023-05-12,166,Category_1
2023-05-13,506,Category_3
2023-05-14,143,Category_4
2023-05-15,450,Category_3
2023-05-16,369,Category_2
2023-05-17,189,Category_5
2023-05-18,511,Category_5
2023-05-19,404,Category_1
2023-05-20,308,Category_4
2023-05-21,186,Category_5
2023-05-22,394,Category_1
2023-05-23,335,Category_4
2023-05-24,171,Category_5
2023-05-25,163,Category_5
2023-05-26,346,Category_4
2023-05-27,258,Category_2
2023-05-28,466,Category_2
2023-05-29,405,Category_2
2023-05-30,284,Category_5
2023-05-31,273,Category_2
2023-06-01,315,Category_4
2023-06-02,328,Category_2
2023-06-03,243,Category_4
2023-06-04,183,Category_2
2023-06-05,386,Category_4
2023-06-06,292,Category_3
2023-06-07,387,Category_5
2023-06-08,153,Category_2
2023-06-09,152,Category_2
2023-06-10,475,Category_2
2023-06-11,433,Category_4
2023-06-12,303,Category_5
2023-06-13,278,Category_3
2023-06-14,428,Category_4
2023-06-15,459,Category_5
2023-06-16,509,Category_1
2023-06-17,224,Category_1
2023-06-18,284,Category_4
2023-06-19,290,Category_1
2023-06-20,145,Category_5
2023-06-21,393,Category_5
2023-06-22,370,Category_4
2023-06-23,339,Category_3
2023-06-24,188,Category_5
2023-06-25,153,Category_2
2023-06-26,404,Category_1
2023-06-27,230,Category_2
2023-06-28,377,Category_1
2023-06-29,397,Category_3
2023-06-30,114,Category_1
2023-07-01,371,Category_3
2023-07-02,437,Category_3
2023-07-03,360,Category_5
2023-07-04,467,Category_5
2023-07-05,100,Category_4
2023-07-06,356,Category_5
2023-07-07,398,Category_1
2023-07-08,487,Category_4
2023-07-09,137,Category_1
2023-07-10,379,Category_4
2023-07-11,174,Category_1
2023-07-12,374,Category_3
2023-07-13,294,Category_5
2023-07-14,385,Category_5
2023-07-15,376,Category_4
2023-07-16,88,Category_3
2023-07-17,94,Category_1
2023-07-18,343,Category_2
2023-07-19,483,Category_1
2023-07-20,118,Category_3
2023-07-21,400,Category_3
2023-07-22,227,Category_4
2023-07-23,233,Category_1
2023-07-24,162,Category_2
2023-07-25,167,Category_5
2023-07-26,297,Category_1
2023-07-27,344,Category_1
2023-07-28,358,Category_4
2023-07-29,370,Category_4
2023-07-30,409,Category_5
2023-07-31,322,Category_3
2023-08-01,336,Category_5
2023-08-02,129,Category_1
2023-08-03,427,Category_1
2023-08-04,327,Category_4
2023-08-05,277,Category_3
2023-08-06,283,Category_4
2023-08-07,307,Category_5
2023-08-08,287,Category_1
2023-08-09,330,Category_5
2023-08-10,106,Category_3
2023-08-11,128,Category_5
2023-08-12,200,Category_4
2023-08-13,301,Category_2
2023-08-14,451,Category_4
2023-08-15,166,Category_5
2023-08-16,432,Category_5
2023-08-17,377,Category_4
2023-08-18,69,Category_1
2023-08-19,228,Category_1
2023-08-20,385,Category_4
2023-08-21,85,Category_2
2023-08-22,356,Category_4
2023-08-23,304,Category_2
2023-08-24,138,Category_3
2023-08-25,411,Category_2
2023-08-26,235,Category_2
2023-08-27,439,Category_3
2023-08-28,390,Category_1
2023-08-29,253,Category_4
2023-08-30,246,Category_1
2023-08-31,345,Category_1
2023-09-01,145,Category_1
2023-09-02,71,Category_2
2023-09-03,217,Category_3
2023-09-04,316,Category_3
2023-09-05,204,Category_1
2023-09-06,270,Category_1
2023-09-07,416,Category_3
2023-09-08,83,Category_3
2023-09-09,159,Category_4
2023-09-10,128,Category_5
2023-09-11,61,Category_5
2023-09-12,235,Category_3
2023-09-13,268,Category_4
2023-09-14,245,Category_5
2023-09-15,112,Category_1
2023-09-16,434,Category_5
2023-09-17,301,Category_5
2023-09-18,116,Category_4
2023-09-19,220,Category_1
2023-09-20,334,Category_1
2023-09-21,227,Category_3
2023-09-22,287,Category_3
2023-09-23,267,Category_3
2023-09-24,62,Category_4
2023-09-25,134,Category_1
2023-09-26,310,Category_2
2023-09-27,142,Category_3
2023-09-28,433,Category_4
2023-09-29,260,Category_2
2023-09-30,339,Category_2
2023-10-01,102,Category_2
2023-10-02,333,Category_1
2023-10-03,325,Category_4
2023-10-04,443,Category_3
2023-10-05,382,Category_2
2023-10-06,382,Category_3
2023-10-07,291,Category_5
2023-10-08,107,Category_3
2023-10-09,338,Category_2
2023-10-10,219,Category_4
2023-10-11,358,Category_5
2023-10-12,221,Category_3
2023-10-13,190,Category_5
2023-10-14,378,Category_4
2023-10-15,221,Category_3
2023-10-16,322,Category_1
2023-10-17,148,Category_5
2023-10-18,310,Category_4
2023-10-19,95,Category_2
2023-10-20,94,Category_4
2023-10-21,292,Category_4
2023-10-22,244,Category_2
2023-10-23,385,Category_5
2023-10-24,270,Category_3
2023-10-25,339,Category_3
2023-10-26,291,Category_3
2023-10-27,104,Category_2
2023-10-28,113,Category_2
2023-10-29,365,Category_2
2023-10-30,120,Category_1
2023-10-31,448,Category_1
2023-11-01,229,Category_1
2023-11-02,107,Category_4
2023-11-03,273,Category_1
2023-11-04,115,Category_2
2023-11-05,153,Category_1
2023-11-06,183,Category_4
2023-11-07,74,Category_4
2023-11-08,366,Category_5
2023-11-09,184,Category_3
2023-11-10,98,Category_5
2023-11-11,70,Category_4
2023-11-12,297,Category_2
2023-11-13,95,Category_5
2023-11-14,305,Category_1
2023-11-15,70,Category_3
2023-11-16,309,Category_4
2023-11-17,125,Category_2
2023-11-18,339,Category_3
2023-11-19,419,Category_1
2023-11-20,267,Category_1
2023-11-21,415,Category_5
2023-11-22,458,Category_4
2023-11-23,144,Category_2
2023-11-24,190,Category_5
2023-11-25,394,Category_3
2023-11-26,371,Category_3
2023-11-27,295,Category_5
2023-11-28,355,Category_3
2023-11-29,322,Category_1
2023-11-30,245,Category_3
2023-12-01,137,Category_5
2023-12-02,255,Category_1
2023-12-03,200,Category_4
2023-12-04,229,Category_3
2023-12-05,344,Category_2
2023-12-06,443,Category_5
2023-12-07,370,Category_1
2023-12-08,240,Category_4
2023-12-09,261,Category_4
2023-12-10,384,Category_5
2023-12-11,212,Category_4
2023-12-12,163,Category_4
2023-12-13,418,Category_3
2023-12-14,177,Category_4
2023-12-15,292,Category_3
2023-12-16,156,Category_1
2023-12-17,330,Category_1
2023-12-18,420,Category_5
2023-12-19,455,Category_5
2023-12-20,458,Category_2
2023-12-21,196,Category_1
2023-12-22,423,Category_4
2023-12-23,188,Category_4
2023-12-24,218,Category_4
2023-12-25,211,Category_2
2023-12-26,305,Category_3
2023-12-27,126,Category_1
2023-12-28,177,Category_5
2023-12-29,189,Category_4
2023-12-30,281,Category_5
2023-12-31,304,Category_1
